Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.119905079244827,8.39675143464668E-06,-0.0550054700607095,0,0,0,9.00567659004051,0.32386721070559,7.81346457012257E-06,0.0128409614131834,0.240986458514625,-1.50384477424153E-06,0.516376617454283,0,0,0,0,0,0,package://vtol_gauthali_11/meshes/base_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://vtol_gauthali_11/meshes/base_link.STL,,WingSD-f-1;FuselageSD new-1;motor-1;motor-2;motor-5;motor-6;Tail-SD-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_ruddervator,0.029088,-0.0071511,0.0084768,0,0,0,0.011825,0.0002244,3.7585E-10,-1.8506E-06,0.00022971,-5.9334E-09,5.7467E-06,0,0,0,0,0,0,package://vtol_gauthali_11/meshes/left_ruddervator.STL,0.98824,0.73725,0.51765,1,0,0,0,0,0,0,package://vtol_gauthali_11/meshes/left_ruddervator.STL,,ruddervator_left-2,Origin_left_ruddervator_joint,Axis_left_ruddervator_joint,left_ruddervator_joint,revolute,-1.3278,0.17783,0.17783,2.3562,0,3.1416,base_link,0,0,1,-1,-1,-0.53,0.53,,,,,,,,
left_aileron,-0.019251,0.45424,-0.00070842,0,0,0,0.0090384,0.0006329,3.2735E-07,2.5966E-07,1.7477E-06,3.2316E-07,0.00063444,0,0,0,0,0,0,package://vtol_gauthali_11/meshes/left_aileron.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://vtol_gauthali_11/meshes/left_aileron.STL,,aileron_left-2,Origin_left_aileron_joint,Axis_left_aileron_joint,left_aileron_joint,revolute,-0.28599,0.38,0.006356,0,0,0,base_link,0,1,0,-1,-1,-0.53,0.53,,,,,,,,
right_aileron,-0.019048,-0.45424,0.0028768,0,0,0,0.0090385,0.00063306,-3.8157E-07,5.2128E-07,1.7477E-06,-2.5684E-07,0.00063429,0,0,0,0,0,0,package://vtol_gauthali_11/meshes/right_aileron.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://vtol_gauthali_11/meshes/right_aileron.STL,,aileron_right-1,Origin_right_aileron_joint,Axis_right_aileron_joint,right_aileron_joint,revolute,-0.28599,-0.38,0.006356,0,0,0,base_link,0,1,0,1,1,-0.53,0.53,,,,,,,,
rotor_0,0.007,-1.2546E-07,0.015147,0,0,0,0.067297,0.0014438,-4.626E-05,-2.2886E-12,1.0096E-05,1.3106E-11,0.0014525,0,0,0,0,0,0,package://vtol_gauthali_11/meshes/rotor_0.STL,1,1,1,1,0,0,0,0,0,0,package://vtol_gauthali_11/meshes/rotor_0.STL,,quad prop CCW 1-2,Origin_rotor_0_joint,Axis_rotor_0_joint,rotor_0_joint,continuous,0.564,-0.35355,0.0064134,0,0,0,base_link,0,0,1,,,,,,,,,,,,
rotor_1,0.007,1.2587E-07,0.015147,0,0,0,0.067297,0.0014429,-5.8288E-05,2.1818E-12,1.0974E-05,-1.307E-11,0.0014525,0,0,0,0,0,0,package://vtol_gauthali_11/meshes/rotor_1.STL,1,1,1,1,0,0,0,0,0,0,package://vtol_gauthali_11/meshes/rotor_1.STL,,quad prop CCW 1-1,Origin_rotor_1_joint,Axis_rotor_1_joint,rotor_1_joint,continuous,-0.836,0.35355,0.0064134,0,0,0,base_link,0,0,1,,,,,,,,,,,,
rotor_2,0.007,-8.4088E-08,0.015147,0,0,0,0.067299,0.001442,-6.9181E-05,1.0898E-12,1.1945E-05,9.2792E-12,0.0014526,0,0,0,0,0,0,package://vtol_gauthali_11/meshes/rotor_2.STL,1,1,1,1,0,0,0,0,0,0,package://vtol_gauthali_11/meshes/rotor_2.STL,,quad prop CW-1,Origin_rotor_2_joint,Axis_rotor_2_joint,rotor_2_joint,continuous,0.564,0.35355,0.0064134,0,0,0,base_link,0,0,1,,,,,,,,,,,,
rotor_3,0.007,-5.7144E-11,0.015147,0,0,0,0.067298,0.0014386,9.8364E-05,3.0747E-13,1.5372E-05,-5.075E-13,0.0014526,0,0,0,0,0,0,package://vtol_gauthali_11/meshes/rotor_3.STL,1,1,1,1,0,0,0,0,0,0,package://vtol_gauthali_11/meshes/rotor_3.STL,,quad prop CW-2,Origin_rotor_3_joint,Axis_rotor_3_joint,rotor_3_joint,continuous,-0.836,-0.35355,0.0064134,0,0,0,base_link,0,0,1,,,,,,,,,,,,
right_ruddervator,0.029088,-0.0084763,0.0071511,0,0,0,0.011825,0.00022439,1.8506E-06,-3.6772E-10,5.7467E-06,-5.9487E-09,0.00022971,0,0,0,0,0,0,package://vtol_gauthali_11/meshes/right_ruddervator.STL,0.98824,0.73725,0.51765,1,0,0,0,0,0,0,package://vtol_gauthali_11/meshes/right_ruddervator.STL,,ruddervator_right-1,Origin_right_ruddervator_joint,Axis_right_ruddervator_joint,right_ruddervator_joint,revolute,-1.3278,-0.17783,0.17783,2.3562,0,3.1416,base_link,0,1,0,-1,-1,-0.53,0.53,,,,,,,,
rotor_pusher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://vtol_gauthali_11/meshes/rotor_pusher.STL,1,1,1,1,0,0,0,0,0,0,package://vtol_gauthali_11/meshes/rotor_pusher.STL,,Pusher-1,Origin_rotor_pusher_joint,Axis_rotor_pusher_joint,rotor_pusher_joint,continuous,-0.50018,0,-0.058605,0,0,0,base_link,1,0,0,,,,,,,,,,,,
